,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
104,BBRK3,184,-44.0,40.0,567.0,"0,00%",215,231.0,-233,-166.0,-64,-111,"-24,33%","-114,77%",148,"-11,07%","-90,91%",1.534.22000,166.355.00000,0,"2,22%"
105,PDGR3,402,-4.0,-1.0,159.0,"0,00%",18,-1.0,-39,-1.0,-1982,-2051,"-40,69%","-382,81%",36,"-5,28%","14,79%",413.78900,-5.225.500.00000,-33,"-29,15%"
106,AZEV4,390,28.0,-8.0,-454.0,"0,00%",372,-11.0,74,-8.0,193,193,"-61,54%","-165,00%",14,"108,12%","-30,71%",141.02500,-248.956.00000,-14,"-49,44%"
107,AZEV3,1163,82.0,-25.0,-1355.0,"0,00%",1110,-34.0,220,-23.0,339,339,"-61,54%","-165,00%",14,"108,12%","-30,71%",91.48010,-248.956.00000,-14,"-49,44%"
108,HAGA4,187,613.0,-29.0,1026.0,"0,00%",396,105.0,-1951,-25.0,-2083,4429,"-5,26%","16,74%",186,"-6,33%","-4,69%",660.85700,-77.360.40000,-50,"-5,45%"
109,ETER3,487,627.0,606.0,503.0,"0,00%",427,748.0,-792,-89.0,-987,-2615,"-6,35%","8,00%",115,"-6,48%","96,65%",5.492.93000,41.532.00000,233,"-14,16%"
110,JHSF3,736,869.0,156.0,6376.0,"1,87%",793,804.0,1576,-250.0,1805,1666,"40,46%","73,10%",244,"5,52%","17,89%",131.406.00000,3.243.960.00000,40,"13,73%"
111,PTBL3,450,903.0,173.0,640.0,"0,88%",363,414.0,-24526,-101.0,-40608,2237,"-0,26%","7,10%",125,"-0,19%","19,20%",7.153.52000,411.329.00000,182,"3,79%"
112,HAGA3,304,996.0,-47.0,1667.0,"0,00%",643,170.0,-3172,-41.0,-3304,7025,"-5,26%","16,74%",186,"-6,33%","-4,69%",55.48370,-77.360.40000,-50,"-5,45%"
113,SOND6,3600,1430.0,160.0,1352.0,"2,53%",1126,269.0,1442,385.0,966,754,"9,38%","9,46%",349,"12,69%","11,17%",1.49730,55.393.00000,0,"-12,02%"
114,TRIS3,1223,1492.0,207.0,2836.0,"3,51%",1164,244.0,1415,404.0,1432,1421,"20,05%","20,46%",315,"10,46%","13,84%",26.413.60000,1.104.980.00000,36,"25,94%"
115,TEND3,3117,1637.0,231.0,1631.0,"1,10%",786,160.0,1023,912.0,964,870,"15,95%","9,96%",294,"12,47%","14,12%",36.329.90000,1.407.140.00000,96,"21,59%"
116,MRVE3,1854,1703.0,163.0,1452.0,"3,68%",522,175.0,1138,-315.0,1534,1371,"12,76%","9,81%",253,"5,23%","9,60%",86.509.50000,5.465.130.00000,89,"9,94%"
117,SOND5,5500,2185.0,244.0,2066.0,"1,66%",1720,410.0,2203,588.0,1727,1349,"9,38%","9,46%",349,"12,69%","11,17%",2.20767,55.393.00000,0,"-12,02%"
118,DIRR3,1441,2253.0,170.0,1541.0,"3,47%",458,121.0,990,-218.0,1029,886,"15,57%","8,29%",424,"5,71%","7,55%",21.548.20000,1.299.540.00000,71,"2,17%"
119,EVEN3,1309,2517.0,162.0,1714.0,"1,11%",576,112.0,1880,327.0,2092,2012,"9,12%","8,51%",302,"3,73%","6,45%",40.571.10000,1.709.090.00000,66,"-3,88%"
120,CYRE3,2365,2706.0,195.0,2507.0,"5,49%",867,279.0,2239,3495.0,2551,2382,"11,20%","12,51%",236,"4,61%","7,19%",194.407.00000,4.857.670.00000,60,"3,25%"
121,EZTC3,3922,2830.0,228.0,9903.0,"0,75%",2020,495.0,4373,525.0,3737,3521,"22,64%","36,33%",615,"6,63%","8,05%",121.322.00000,3.907.800.00000,0,"6,16%"
122,MTRE3,1480,10925.0,161.0,5291.0,"0,00%",1273,176.0,6227,197.0,3181,2962,"8,50%","4,86%",641,"6,46%","1,48%",11.166.40000,970.757.00000,7,"0,00%"
123,STBP3,537,-79435.0,271.0,3871.0,"0,33%",1105,1303.0,9495,-258.0,9717,2047,"4,08%","-0,49%",206,"1,33%","-0,34%",16.280.30000,1.324.970.00000,33,"3,60%"
124,ECOR3,1302,-3687.0,1182.0,1830.0,"0,00%",635,-1095.0,582,-81.0,1135,775,"31,45%","-4,96%",73,"12,70%","-32,06%",65.406.70000,615.303.00000,1372,"8,00%"
125,LOGN3,1847,-1463.0,959.0,1856.0,"0,00%",978,324.0,2234,-226.0,3119,1305,"8,31%","-12,69%",285,"7,14%","-65,56%",16.378.70000,203.158.00000,704,"4,62%"
126,TPIS3,126,-413.0,32.0,218.0,"0,00%",61,-28.0,-3693,-8.0,-33516,514,"-0,59%","-7,43%",24,"-0,17%","-7,64%",1.007.36000,701.690.00000,271,"-15,27%"
127,GOLL4,1755,-150.0,-48.0,567.0,"0,00%",423,-74.0,831,-27.0,2041,573,"6,82%","-36,24%",32,"6,59%","32,11%",196.580.00000,-13.002.600.00000,-84,"4,39%"
128,AZUL4,2159,-61.0,-58.0,779.0,"0,00%",487,-118.0,-270,-30.0,-913,2212,"-28,84%","-128,36%",36,"-25,02%","96,28%",294.766.00000,-12.648.200.00000,-152,"6,12%"
129,TGMA3,2493,1099.0,279.0,1458.0,"4,58%",1576,682.0,1242,2937.0,1270,1068,"11,74%","13,27%",190,"17,90%","25,38%",16.279.10000,590.088.00000,55,"5,83%"
130,LUXM4,4598,1662.0,221.0,2073.0,"13,21%",1318,750.0,1466,-1820.0,1557,768,"14,14%","12,47%",212,"9,88%","13,33%",106.39500,107.865.00000,27,"8,87%"
131,JSLG3,3210,2782.0,475.0,692.0,"0,76%",295,92.0,777,-77.0,1816,817,"8,90%","2,67%",269,"6,76%","17,09%",31.496.10000,1.402.480.00000,1225,"11,09%"
132,CCRO3,1330,3052.0,326.0,2605.0,"5,73%",769,3263.0,969,-146.0,1492,842,"26,88%","7,91%",111,"9,82%","10,69%",99.057.40000,8.233.370.00000,252,"2,03%"
133,WSON33,3944,4846.0,123.0,1724.0,"2,90%",522,903.0,439,-127.0,750,750,"39,30%","3,85%",155,"13,78%","2,53%",1.055.46000,2.290.150.00000,109,"0,08%"
134,RLOG3,2111,5066.0,405.0,1402.0,"0,00%",233,393.0,481,-38.0,1091,591,"29,14%","9,99%",152,"5,67%","7,99%",22.823.50000,2.416.520.00000,740,"9,27%"
135,RAIL3,2230,5914.0,487.0,5925.0,"0,00%",986,1662.0,2068,-160.0,2689,1445,"28,65%","10,07%",152,"5,57%","8,23%",202.161.00000,8.490.350.00000,211,"13,59%"
136,CAML3,1245,-34617.0,178.0,1939.0,"1,35%",629,235.0,3036,1196.0,3883,3883,"6,39%","-0,56%",162,"3,53%","-0,51%",16.450.50000,2.587.190.00000,121,"-19,60%"
137,BSEV3,404,-266.0,-407.0,631.0,"0,00%",307,-64.0,1362,-46.0,3375,464,"4,63%","-23,73%",46,"2,65%","153,14%",512.77700,-1.012.830.00000,-723,"-0,01%"
138,MNPR3,556,-213.0,-11.0,164.0,"0,00%",181,-10.0,80,-8.0,79,71,"20,43%","-7,69%",17,"23,63%","4,94%",120.87000,-375.728.00000,0,"3,46%"
139,MRFG3,1807,811.0,3500.0,217.0,"0,00%",350,309.0,180,-68.0,433,367,"12,03%","5,41%",137,"27,39%","431,39%",219.995.00000,367.249.00000,7138,"38,62%"
140,BEEF3,1352,960.0,785.0,367.0,"0,00%",388,115.0,380,-138.0,694,594,"9,64%","3,82%",201,"19,81%","81,78%",101.613.00000,838.217.00000,1462,"19,26%"
141,JOPA3,2700,1053.0,55.0,221.0,"1,06%",148,54.0,321,1845.0,990,838,"6,87%","2,70%",173,"5,94%","5,23%",74656,518.604.00000,189,"3,78%"
142,JOPA4,2800,1092.0,57.0,229.0,"1,13%",154,56.0,333,1913.0,1002,848,"6,87%","2,70%",173,"5,94%","5,23%",1.88728,518.604.00000,189,"3,78%"
143,SMTO3,2408,1285.0,251.0,2151.0,"2,24%",715,535.0,928,-170.0,1428,583,"23,18%","16,74%",183,"9,18%","19,55%",41.507.40000,3.392.610.00000,184,"11,16%"
144,BRFS3,1960,1291.0,234.0,445.0,"0,00%",326,358.0,556,-78.0,1075,594,"8,00%","3,50%",126,"9,28%","18,16%",251.610.00000,6.793.900.00000,366,"0,01%"
145,MDIA3,3574,1759.0,194.0,1791.0,"0,70%",1283,854.0,1803,2331.0,1862,1360,"9,93%","10,18%",161,"8,68%","11,05%",38.253.10000,6.234.010.00000,29,"7,86%"
146,BAUH4,8994,3199.0,618.0,2582.0,"0,95%",3711,2124.0,2923,2576.0,2703,2082,"8,83%","8,07%",147,"24,80%","19,33%",39.68480,75.956.00000,0,"11,79%"
147,CSAN3,8285,3731.0,302.0,4826.0,"1,81%",984,700.0,1958,-266.0,2574,2574,"24,64%","10,29%",197,"5,95%","8,09%",144.131.00000,10.820.800.00000,126,"-1,32%"
148,JBSS3,2335,26117.0,173.0,267.0,"2,37%",384,224.0,333,-103.0,625,456,"8,00%","0,18%",180,"15,57%","0,66%",399.055.00000,36.011.800.00000,214,"7,39%"
149,ABEV3,1270,2241.0,270.0,3841.0,"3,86%",1646,2843.0,1511,-2083.0,1430,1046,"25,42%","17,88%",124,"14,63%","12,06%",470.605.00000,73.922.800.00000,9,"3,05%"
150,NTCO3,4914,-5839.0,265.0,2125.0,"0,00%",1007,1465.0,3444,-296.0,4187,4187,"6,17%","-3,67%",133,"3,72%","-4,53%",298.511.00000,23.245.600.00000,89,"0,00%"
151,ADHM3,220,-576.0,-181.0,1.0872,"0,00%",148255,-202.0,-802,-179.0,-802,-819,"-13.548,50%","-18.860,60%",0,"521,70%","31,47%",61.71320,-19.776.00000,0,"43,48%"
152,BOBR4,213,3890.0,-218.0,523.0,"0,00%",795,-295.0,494,-86.0,706,588,"10,58%","1,34%",62,"21,98%","-5,60%",336.10400,-254.612.00000,-104,"-0,26%"
153,DASA3,7000,-16978.0,869.0,6750.0,"0,53%",2725,2280.0,67821,-705.0,74216,5594,"1,00%","-3,91%",166,"0,49%","-5,12%",6.53456,3.872.410.00000,127,"14,33%"
154,AALR3,1230,-1722.0,123.0,1591.0,"0,71%",556,-1489.0,-59828,-189.0,-83529,1750,"-0,27%","-8,57%",87,"-0,11%","-7,16%",10.857.80000,1.179.760.00000,76,"-3,97%"
155,BIOM3,1618,-1621.0,815.0,38202.0,"0,00%",2765,1652.0,-2172,-831.0,-2432,-2659,"-175,85%","-235,65%",204,"-16,06%","-50,27%",521.67000,120.695.00000,153,"1.312,78%"
156,GBIO33,1038,-1494.0,132.0,1515.0,"0,00%",790,756.0,1351,1754.0,1604,1604,"11,21%","-10,14%",131,"7,12%","-8,83%",6.341.83000,838.439.00000,31,"-8,99%"
157,DMVF3,1200,0.0,135.0,0.0,"0,00%",503,-413.0,0,-138.0,0,0,"0,00%","0,00%",69,"0,00%","0,00%",5.442.49000,449.022.00000,76,"0,00%"
158,ODPV3,1310,2197.0,572.0,3876.0,"3,19%",3534,1534.0,1313,2441.0,1166,1118,"29,51%","17,54%",178,"45,42%","26,02%",27.717.50000,1.217.410.00000,0,"8,81%"
159,QUAL3,2990,2221.0,518.0,4193.0,"11,66%",2385,1186.0,1116,-1143.0,1183,782,"37,57%","18,92%",255,"30,44%","23,30%",124.563.00000,1.640.420.00000,81,"1,21%"
160,PARD3,2524,2995.0,462.0,2667.0,"0,95%",1772,1314.0,2089,-704.0,2176,1351,"12,77%","8,91%",159,"10,96%","15,43%",20.920.60000,715.237.00000,60,"7,43%"
161,OFSA3,2907,3119.0,304.0,2469.0,"0,06%",1697,719.0,1935,2016.0,2170,1646,"12,76%","7,91%",182,"10,69%","9,74%",480.01000,515.951.00000,63,"6,43%"
162,HAPV3,6243,5365.0,602.0,6392.0,"0,28%",3501,3967.0,3670,-2050.0,3648,2683,"17,42%","11,94%",155,"11,74%","11,22%",112.437.00000,7.702.680.00000,27,"47,83%"
163,FLRY3,2512,6014.0,515.0,3014.0,"2,93%",1475,1100.0,2477,-372.0,2737,1363,"12,17%","5,01%",173,"7,74%","8,56%",56.119.60000,1.549.450.00000,124,"7,95%"
164,GNDI3,7288,7153.0,649.0,4564.0,"0,23%",3076,7416.0,3414,-1118.0,3410,2766,"13,37%","6,38%",120,"10,59%","9,08%",219.326.00000,6.775.330.00000,29,"35,39%"
165,CRFB3,1920,1802.0,262.0,597.0,"1,30%",842,1379.0,945,-505.0,1024,804,"6,32%","3,76%",114,"12,69%","14,52%",131.685.00000,14.562.000.00000,52,"11,14%"
166,PNVL4,1993,3876.0,565.0,1086.0,"0,52%",1901,851.0,2616,-3340.0,3032,1634,"4,15%","2,80%",158,"10,25%","14,58%",792.11200,534.292.00000,116,"7,99%"
167,PFRM3,536,4232.0,66.0,127.0,"0,00%",195,148.0,363,-388.0,672,389,"3,50%","0,30%",125,"8,57%","1,57%",7.506.62000,1.001.000.00000,95,"7,44%"
168,PCAR3,6473,4257.0,138.0,244.0,"0,90%",275,-3957.0,360,-66.0,566,397,"6,76%","0,69%",98,"11,17%","3,25%",132.890.00000,12.566.000.00000,140,"6,61%"
169,PNVL3,2271,4416.0,644.0,1238.0,"0,42%",2166,969.0,2981,-3806.0,3397,1831,"4,15%","2,80%",158,"10,25%","14,58%",19.055.30000,534.292.00000,116,"7,99%"
170,RADL3,10794,5000.0,878.0,1896.0,"0,61%",2796,1678.0,4067,-1428.0,4233,1931,"4,66%","3,87%",153,"8,55%","17,55%",159.632.00000,4.063.700.00000,43,"16,39%"
171,MNDL3,2600,-514.0,-44.0,135.0,"0,00%",61,-10.0,210,-7.0,800,560,"6,45%","-2,63%",29,"3,15%","8,58%",76.07080,-146.315.00000,-128,"4,16%"
172,ECPR3,7700,-221.0,90.0,0.0,"0,00%",519,0.0,-8083,0.0,-8011,-8028,"0,00%","0,00%",0,"0,00%","-40,74%",36044,162.201.00000,0,"0,00%"
173,CEDO3,1100,-180.0,82.0,182.0,"0,00%",166,-257.0,1068,-42.0,3023,1049,"1,70%","-10,82%",85,"1,90%","-45,61%",11.79370,133.686.00000,175,"9,68%"
174,CTNM3,1091,-137.0,37.0,183.0,"0,00%",79,131.0,-2720,-31.0,-13512,1952,"-0,67%","-21,78%",120,"-0,32%","-26,65%",27.30090,912.647.00000,169,"-11,24%"
175,SGPS3,710,-100.0,30.0,269.0,"0,00%",113,173.0,636,-43.0,1997,795,"4,23%","-26,97%",121,"2,00%","-30,43%",1.803.54000,1.169.340.00000,84,"-17,81%"
176,CEDO4,596,-98.0,45.0,98.0,"0,00%",90,-139.0,579,-23.0,2533,879,"1,70%","-10,82%",85,"1,90%","-45,61%",14.95990,133.686.00000,175,"9,68%"
177,CTNM4,603,-76.0,20.0,101.0,"0,00%",43,72.0,-1503,-17.0,-12295,1777,"-0,67%","-21,78%",120,"-0,32%","-26,65%",170.25000,912.647.00000,169,"-11,24%"
178,TECN3,104,-63.0,25.0,277.0,"0,00%",120,38.0,-196,340.0,-399,-308,"-14,14%","-44,10%",236,"-7,60%","-39,81%",1.098.98000,326.951.00000,42,"-6,60%"
179,TEKA3,3250,-13.0,-1.0,113.0,"0,00%",17,-1.0,-147,-1.0,-4383,-7854,"-7,64%","-87,84%",2,"-1,83%","7,98%",44.57530,-1.596.710.00000,-29,"-0,72%"
180,TEKA4,1071,-4.0,0.0,37.0,"0,00%",6,0.0,-49,0.0,-4284,-7677,"-7,64%","-87,84%",2,"-1,83%","7,98%",137.79800,-1.596.710.00000,-29,"-0,72%"
181,TXRX4,1074,171.0,-15.0,1201.0,"0,00%",244,-17.0,803,-11.0,4476,4476,"14,94%","70,35%",19,"4,73%","-9,01%",300.46800,-297.411.00000,-70,"-12,85%"
182,CTKA4,1224,352.0,-29.0,217.0,"0,00%",195,69.0,208,-18.0,1561,1154,"10,43%","6,16%",186,"11,26%","-8,33%",70.65470,-258.706.00000,-204,"4,68%"
183,CTKA3,1530,441.0,-37.0,272.0,"0,00%",244,86.0,260,-23.0,1613,1193,"10,43%","6,16%",186,"11,26%","-8,33%",26.96970,-258.706.00000,-204,"4,68%"
184,PTNT4,500,1097.0,95.0,419.0,"1,45%",346,421.0,931,-531.0,1377,676,"4,50%","6,58%",120,"4,76%","8,68%",136.59700,252.196.00000,76,"3,75%"
185,HGTX3,1790,1122.0,194.0,2412.0,"2,52%",1411,357.0,3843,384.0,3507,1600,"6,28%","21,49%",260,"5,30%","17,30%",66.316.40000,1.498.030.00000,17,"-4,63%"
186,TXRX3,8090,1285.0,-116.0,9043.0,"0,00%",1842,-129.0,6051,-82.0,9724,9724,"14,94%","70,35%",19,"4,73%","-9,01%",6.91902,-297.411.00000,-70,"-12,85%"
187,PTNT3,839,1841.0,160.0,702.0,"0,87%",581,706.0,1562,-892.0,2008,986,"4,50%","6,58%",120,"4,76%","8,68%",39.45310,252.196.00000,76,"3,75%"
188,GRND3,774,1927.0,196.0,4164.0,"3,20%",1790,361.0,2547,379.0,2161,1604,"16,35%","21,61%",869,"10,51%","10,18%",12.906.60000,3.558.780.00000,6,"-4,82%"
189,DOHL4,517,2057.0,67.0,858.0,"2,21%",528,135.0,9191,206.0,7657,1716,"0,93%","4,17%",587,"0,67%","3,26%",137.21600,582.769.00000,4,"2,84%"
190,VIVA3,2283,3605.0,499.0,5439.0,"0,68%",2909,733.0,3120,1151.0,2967,2967,"17,43%","15,08%",245,"13,82%","13,85%",34.710.10000,1.079.630.00000,30,"0,00%"
191,DOHL3,1500,5967.0,195.0,2491.0,"0,69%",1531,393.0,26667,597.0,25133,5633,"0,93%","4,17%",587,"0,67%","3,26%",13.89800,582.769.00000,4,"2,84%"
192,VULC3,593,7105.0,142.0,1361.0,"0,00%",972,204.0,2150,307.0,2085,938,"6,33%","1,91%",408,"5,92%","1,99%",5.923.50000,1.029.360.00000,27,"1,43%"
193,ALPA3,3232,7149.0,666.0,5928.0,"0,16%",2857,1167.0,3928,3000.0,3899,2930,"15,09%","7,86%",160,"12,92%","9,32%",79.64110,2.852.200.00000,88,"-4,42%"
194,ALPA4,3475,7687.0,716.0,6374.0,"0,16%",3072,1255.0,4224,3226.0,4194,3152,"15,09%","7,86%",160,"12,92%","9,32%",59.215.50000,2.852.200.00000,88,"-4,42%"
195,CAMB3,433,7851.0,282.0,1047.0,"0,00%",834,25354.0,1961,-265.0,2488,1452,"5,34%","1,34%",101,"4,80%","3,59%",796.06300,64.625.00000,90,"-9,79%"
196,CTSA4,245,10938.0,96.0,624.0,"0,48%",430,1452.0,915,-390.0,1695,1697,"6,82%","0,57%",107,"5,22%","0,88%",118.04200,283.521.00000,86,"7,43%"
197,CTSA3,283,12634.0,111.0,721.0,"0,38%",496,1677.0,1057,-450.0,1837,1839,"6,82%","0,57%",107,"5,22%","0,88%",181.92800,283.521.00000,86,"7,43%"
198,IGBR3,335,-3596.0,-5.0,16790.0,"0,00%",168,-47.0,-2581,-4.0,-61010,-61010,"-65,05%","-46,69%",3,"-0,71%","0,13%",506.043,-912.514.00000,-104,"-26,48%"
199,SPRI6,1200,-183.0,135.0,0.0,"0,00%",1305,0.0,-350,0.0,-315,-318,"0,00%","0,00%",0,"0,00%","-73,82%",3.36751,22.420.00000,0,"-7,33%"
200,SPRI3,1105,-169.0,125.0,0.0,"0,00%",1202,0.0,-323,0.0,-287,-290,"0,00%","0,00%",0,"0,00%","-73,82%",21.9236,22.420.00000,0,"-7,33%"
201,SPRI5,912,-139.0,103.0,0.0,"0,00%",992,0.0,-266,0.0,-231,-233,"0,00%","0,00%",0,"0,00%","-73,82%",4.28735,22.420.00000,0,"-7,33%"
202,HETA4,838,119.0,-1.0,3653.0,"0,00%",421,-11.0,488,-1.0,37541,37541,"74,87%","306,50%",1,"8,75%","-0,94%",29.6754,-382.871.00000,-85,"-17,65%"
203,WHRL3,715,758.0,583.0,1345.0,"13,53%",1887,1246.0,2440,2510.0,2195,1637,"5,51%","17,75%",125,"19,62%","76,96%",120.4,1.841.660.00000,11,"-6,48%"
204,WHRL4,725,769.0,592.0,1364.0,"14,68%",1913,1263.0,2474,2545.0,2229,1662,"5,51%","17,75%",125,"19,62%","76,96%",440.586,1.841.660.00000,11,"-6,48%"
205,UCAS3,424,2520.0,175.0,2008.0,"14,76%",1356,398.0,3313,459.0,2894,1419,"6,06%","7,97%",291,"5,06%","6,93%",800.709,160.532.00000,0,"-8,41%"
206,SLED3,107,-15.0,-17.0,114.0,"0,00%",98,-89.0,-47,-8.0,-310,-839,"-24,54%","-74,24%",75,"-28,21%","109,34%",161.175,-321.432.00000,-106,"-27,13%"
207,SLED4,58,-8.0,-9.0,62.0,"0,00%",53,-48.0,-25,-4.0,-289,-781,"-24,54%","-74,24%",75,"-28,21%","109,34%",767.311,-321.432.00000,-106,"-27,13%"
